asset_id,asset_type,business_unit,business_criticality,high_risk_probability,predicted_risk_tier,model_confidence,anomaly_flag,anomaly_score,attack_techniques,correlated_signals,signal_convergence_count,threat_priority_score,threat_priority_tier,analyst_actions,evidence_context,generated_at
LHT-Asset-024,firewall,network_services,5,1.0,Critical,High,Yes,-0.0334,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery; T1210 Exploitation of Remote Services,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; High vulnerability exposure; Elevated residual risk,7,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Validate patch status, exploitability, and reachability; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.167072+00:00
LHT-Asset-043,windows_server,network_services,3,1.0,Critical,High,Yes,-0.0501,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery; T1190 Exploit Public-Facing Application,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Elevated firewall-policy exposure; Reduced control effectiveness; Elevated residual risk,8,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Review exposed services and firewall-rule justification; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.169036+00:00
LHT-Asset-058,domain_controller,identity_services,4,1.0,Critical,High,Yes,-0.0129,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery; T1190 Exploit Public-Facing Application,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Elevated firewall-policy exposure; Reduced control effectiveness; Elevated residual risk,8,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Review exposed services and firewall-rule justification; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.170649+00:00
LHT-Asset-096,workstation,network_services,5,1.0,Critical,High,Yes,-0.0675,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1046 Network Service Discovery; T1190 Exploit Public-Facing Application,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High-severity network alert volume; Elevated firewall-policy exposure; Reduced control effectiveness; Elevated residual risk,7,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Validate alert source, destination, and firewall evidence; Review exposed services and firewall-rule justification; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.174662+00:00
LHT-Asset-149,workstation,business_applications,5,1.0,Critical,High,Yes,-0.0071,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery; T1190 Exploit Public-Facing Application,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Elevated firewall-policy exposure; Reduced control effectiveness; Elevated residual risk,8,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Review exposed services and firewall-rule justification; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.181067+00:00
LHT-Asset-154,domain_controller,business_applications,3,1.0,Critical,High,Yes,-0.0492,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery; T1190 Exploit Public-Facing Application,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Elevated firewall-policy exposure; Reduced control effectiveness; Elevated residual risk,8,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Review exposed services and firewall-rule justification; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.181647+00:00
LHT-Asset-161,linux_server,network_services,4,1.0,Critical,High,Yes,-0.03,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery; T1190 Exploit Public-Facing Application; T1210 Exploitation of Remote Services,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Elevated firewall-policy exposure; High vulnerability exposure; Elevated residual risk,8,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Review exposed services and firewall-rule justification; Validate patch status, exploitability, and reachability; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.182349+00:00
LHT-Asset-049,application_server,network_services,3,0.9999,Critical,High,Yes,-0.0057,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Reduced control effectiveness; Elevated residual risk,7,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.169706+00:00
LHT-Asset-191,linux_server,network_services,2,0.9999,Critical,High,Yes,-0.0443,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery; T1190 Exploit Public-Facing Application; T1210 Exploitation of Remote Services,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Elevated firewall-policy exposure; High vulnerability exposure; Reduced control effectiveness; Elevated residual risk,9,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Review exposed services and firewall-rule justification; Validate patch status, exploitability, and reachability; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.185380+00:00
LHT-Asset-192,firewall,finance_operations,5,0.9999,Critical,High,Yes,-0.0026,T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery; T1190 Exploit Public-Facing Application; T1210 Exploitation of Remote Services,Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Elevated firewall-policy exposure; High vulnerability exposure; Reduced control effectiveness; Elevated residual risk,8,100,Critical,"Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Review exposed services and firewall-rule justification; Validate patch status, exploitability, and reachability; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.185483+00:00
